,강남11개구,강북14개구,수도권,전국,KOSPI,S&P 500
2001-06-01,21.0350835062,31.4211187965,30.5077152561,34.8780170468,595.13,1224.3800048828125
2001-07-01,21.7266936988,32.0453792172,31.3537276949,35.5227123,541.55,1211.22998046875
2001-08-01,22.5869901989,33.1452671631,32.5330182549,36.4575201421,545.11,1133.5799560546875
2001-09-01,22.9412295659,33.8884347218,33.3021202745,37.1989199582,479.68,1040.93994140625
2001-10-01,22.9918351898,33.9181615063,33.4303035824,37.4245635719,537.81,1059.780029296875
2001-11-01,23.12678352,33.7398007992,33.5328504459,37.6179715978,643.89,1139.449951171875
2001-12-01,23.8183946073,33.9776140483,34.0712222942,38.0692588251,693.7,1148.0799560546875
2002-01-01,25.7076721258,35.2261359167,35.9939773433,39.6165274327,748.07,1130.199951171875
2002-02-01,26.9222079928,36.5341103271,37.4809074077,41.002622502,819.99,1106.72998046875
2002-03-01,28.0524011535,37.3664582394,38.7883812756,42.2597785207,895.58,1147.3900146484375
2002-04-01,28.3054292728,37.7529054111,39.1729322854,42.6465956726,842.34,1076.9200439453125
2002-05-01,28.4235090618,38.0204454446,39.3523895681,42.8400036985,796.4,1067.1400146484375
2002-06-01,28.6934057223,38.1988051246,39.6856666031,43.0978817998,742.72,989.8200073242188
2002-07-01,29.5030965985,38.9419726834,40.4547697089,43.7103425653,717.99,911.6199951171875
2002-08-01,30.7851057362,40.0121338447,41.8391529098,44.7418549704,736.4,916.0700073242188
2002-09-01,32.42135603,41.5876493158,43.7875444032,46.289123578,646.42,815.280029296875
2002-10-01,32.337012429,41.9146429184,43.967001686,46.5470016792,658.92,885.760009765625
2002-11-01,32.1345899336,41.7362822113,43.8900912668,46.5470016792,724.8,936.3099975585938
2002-12-01,32.2020640987,41.6471018577,44.0439121052,46.7404108053,627.55,879.8200073242188
2003-01-01,31.5610595299,41.2309289287,43.6080882066,46.6759407299,591.86,855.7000122070312
2003-02-01,31.746613484,41.1120217906,43.7362715145,46.9982889065,575.43,841.1500244140625
2003-03-01,31.9490359794,41.3498350396,43.9926392165,47.3528715708,535.7,848.1799926757812
2003-04-01,32.7587268557,41.5281957467,44.6079203977,47.900862261,599.35,916.9199829101562
2003-05-01,33.8383134979,41.9740954603,45.8897567351,48.9968447414,633.42,963.5900268554688
